Topic,Media,Sentence,Sentiment
lewica razem,NCzas,Rzetelnoœæ mediów g³ównego œcieku. Tym razem w TVP „dziennikarz z Belgii”...,"{'zaufanie': 1, 'wstrêt': 1}"

konfederacja,NCzas,Konfederacja KORWiN Braun Liroy Narodowcy czwart¹ si³¹ polityczn¹. Mimo medialnego zamilczania przekraczaj¹ próg wyborczy,"{'wstrêt': 4, 'z³oœæ': 4}"

koalicja obywatelska,NCzas,Lider Konfederacji po sukcesie wyborczym. „Na scenie politycznej pojawi³a siê nowa si³a. Przy tak zmasowanej propagandzie to jest olbrzymi sukces”,"{'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 1, 'zaufanie': 1}"

pis,NCzas,Wybory do Parlamentu Europejskiego. Kaczyñski ostrzega: „Rozstrzygaj¹cy bój o przysz³oœæ naszej...,{'zaufanie': 1}

konfederacja,NCzas,"Wybory do Parlamentu Europejskiego. Korwin-Mikke: Mam nadziejê, ¿e nast¹pi³ prze³om","{'radoœæ': 2, 'wstrêt': 1, 'zaufanie': 1, 'z³oœæ': 1, 'cieszenie siê na coœ oczekiwanego': 1, 'zaskoczenie czymœ nieprzewidywanym': 1}"

konfederacja,NCzas,Konfederacja KORWiN Braun Liroy Narodowcy czwart¹ si³¹ polityczn¹. Mimo medialnego zamilczania...,"{'wstrêt': 4, 'z³oœæ': 4}"

pis,NCzas,Forum ¯ydów Polskich mówi bez ogródek: „Anty¿ydowskoœæ nie pop³aca”. PiS nazywa...,"{'wstrêt': 1, 'z³oœæ': 1}"

wêgry,NCzas,Orban zyskuje mocn¹ kartê przetargow¹! Fidesz mo¿e pozostaæ we frakcji ludowców,"{'radoœæ': 1, 'zaufanie': 1}"

ue,NCzas,Kandydat torysów na premiera Wielkiej Brytanii: „Musimy wyjœæ z UE przed...,"{'radoœæ': 1, 'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

pis,NCzas,Tak PiS chce wygraæ drug¹ kadencjê! Wyp³ac¹ trzy razy po 500...,"{'cieszenie siê na coœ oczekiwanego': 2, 'radoœæ': 2, 'strach': 2, 'z³oœæ': 2}"

kukiz15,NCzas,Mamy szokuj¹ce nagranie! Pawe³ Kukiz podsumowuje w nim swoj¹ kampaniê wyborcz¹...,{'zaufanie': 1}

koalicja obywatelska,NCzas,Szok i niedowierzanie! Dulkiewicz oburzona po têczowym homomarszu? „Czujê siê ura¿ona...,"{'smutek': 2, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 1, 'radoœæ': 1}"

rz¹d,NCzas,CBA z³apa³o Polaka i Ukraiñca na gor¹cym uczynku przyjmowania ³apówki. Sprawcy...,"{'smutek': 1, 'wstrêt': 1, 'z³oœæ': 2}"

polska,NCzas,SKANDAL! Zabezpieczeñ Polski przed roszczeniami nie bêdzie! Po wyborach spadaj¹ maski,{'wstrêt': 2}

lewica razem,NCzas,Kulczyk ma nowego partnera? Byli razem na wielkiej gali,"{'radoœæ': 1, 'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

media,NCzas,Edyta Górniak oszala³a! Staje w obronie gwiazdy „Dzieñ Dobry TVN” po...,"{'wstrêt': 2, 'zaskoczenie czymœ nieprzewidywanym': 2, 'z³oœæ': 2}"

biedroñ,NCzas,Efekt reform Zalewskiej jak marzenie Wiosny Biedronia. PiS wywali³ religiê ze...,"{'radoœæ': 2, 'smutek': 2, 'wstrêt': 2, 'zaskoczenie czymœ nieprzewidywanym': 2}"

usa,NCzas,W oparach lewicowego szaleñstwa. Kazirodcze kuriozum w USA. Wzi¹³ legalny œlub…...,"{'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1, 'zaufanie': 1}"

niemcy,NCzas,Pieszczoszek Merkel. Szef arabskiego gangu „urodzi³ siê” w kilku krajach i...,"{'radoœæ': 1, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

lewica razem,NCzas,Ostry wpis Ziemkiewicza. „Nastêpnym razem zacznijcie pierdziæ na wargach”,{'zaufanie': 1}

koalicja europejska,NCzas,Odlot! Oto œwiat baœni redaktora Tomasza Lisa! „KE jest najlepszym politycznym...,"{'radoœæ': 1, 'zaufanie': 1}"

lewica razem,NCzas,Cenzura miêdzynarodowych korporacji dzia³a. Tym razem Facebook uderzy³ w Kresy.pl. Œci¹³...,"{'wstrêt': 1, 'zaufanie': 1}"

koalicja obywatelska,NCzas,PSL siê sypie. Czy to ju¿ koniec ludowców?,"{'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 1, 'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

polska,NCzas,"HIT TYGODNIA. Skandal na Eurowizji! Polski zespó³ oszukany, powinien awansowaæ do...","{'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 1, 'smutek': 1, 'zaskoczenie czymœ nieprzewidywanym': 1, 'wstrêt': 1}"

pis,Newsweek,Zbigniew Ziobro: zgwa³cenie osoby ma³oletniej bêdzie zagro¿one kar¹ od 5 do 30 lat pozbawienia wolnoœci,"{'radoœæ': 1, 'z³oœæ': 1}"

media,Newsweek,"Best of ""Tomasz Lis."". Tomasz Sekielski, Micha³ Kamiñski i Zbigniew Miko³ejko goœæmi odcinka","{'radoœæ': 2, 'wstrêt': 2, 'z³oœæ': 2}"

pis,Newsweek,Zbigniew Ziobro: przesuniêcie na czerwiec wyroku TSUE dot. pytañ SN - dobrym rozwi¹zaniem,"{'radoœæ': 2, 'zaufanie': 2}"

usa,Newsweek,Trump o wys³aniu ¿o³nierzy na Bliski Wschód,"{'radoœæ': 1, 'zaufanie': 1}"

koalicja obywatelska,Newsweek,"Kontrowersyjne zarz¹dzenie zmienione po publikacji Onetu. Dyrektor s¹du pilnie ""œci¹gniêta"" z urlopu",{'wstrêt': 2}

pis,Newsweek,"Andrzej Duda w ""Financial Times"": chcemy dalszego poszerzenia UE",{'zaufanie': 2}

usa,Newsweek,USA rozwa¿aj¹ wys³anie 120 tys. ¿o³nierzy na Bliski Wschód? Trump zaprzecza,"{'radoœæ': 2, 'zaufanie': 2}"

pedofilia,Newsweek,S³upski pedofil przysporzy k³opotów Biedroniowi?,"{'strach': 2, 'wstrêt': 1, 'z³oœæ': 2, 'smutek': 1}"

media,Newsweek,Newsletter Onetu. Andrzej Gajcy:  pedofilia na wyborczym stole polityków,"{'smutek': 2, 'strach': 2, 'wstrêt': 2, 'z³oœæ': 2}"

rz¹d,Newsweek,Ambasador RP w Izraelu zaatakowany w Tel Awiwie,"{'smutek': 2, 'wstrêt': 2, 'z³oœæ': 2}"

polska,Newsweek,Onet24: na spotkanie episkopatu Polski przyjedzie specjalny wys³annik papie¿a Franciszka,"{'radoœæ': 1, 'wstrêt': 1}"

kukiz15,Newsweek,Pawe³ Kukiz: Zjawisko pedofilii istnieje i ma siê dobrze. Nie tylko wœród ksiê¿y,"{'smutek': 1, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

kukiz15,Newsweek,"Pawe³ Kukiz: dziœ zosta³ zaatakowany Magierowski, jutro mo¿e to byæ inny Polak ","{'smutek': 3, 'wstrêt': 3, 'z³oœæ': 3}"

koœció³,Newsweek,Nadchodzi czas „podziemnego Koœcio³a”? Watykanista o wstrz¹saj¹cym proroctwie [WYWIAD],"{'smutek': 1, 'strach': 1, 'z³oœæ': 1}"

polska,Newsweek,"Mê¿czyzna, który zaatakowa³ ambasadora RP w Izraelu przes³uchiwany przez policjê","{'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

koœció³,Newsweek,"Prymas Polski: film ""Tylko nie mów nikomu"" nie jest atakiem na Koœció³","{'smutek': 3, 'wstrêt': 3, 'z³oœæ': 3}"

koalicja obywatelska,Newsweek,Spór w Sejmie o Stanis³awa Piotrowicza. PO-KO chce go odwo³aæ z funkcji szefa komisji sprawiedliwoœci,{'z³oœæ': 1}

koœció³,Newsweek,Franciszek: nasz¹ nadziej¹ jest przebaczenie Jezusa,"{'radoœæ': 1, 'wstrêt': 1, 'zaufanie': 1, 'z³oœæ': 1}"

kukiz15,Newsweek,"Kukiz: dziœ zosta³ zaatakowany Magierowski, jutro mo¿e to byæ inny Polak ","{'smutek': 3, 'wstrêt': 3, 'z³oœæ': 3}"

pis,Newsweek,Wassermann: skrajnie Ÿle oceniam prace s³u¿b,{'zaufanie': 1}

koalicja obywatelska,Newsweek,Spór w Sejmie o Stanis³awa Piotrowicza. PO-KO chce go odwo³aæ z funkcji szefa komisji sprawiedliwoœci,{'z³oœæ': 1}

polska,Newsweek,"Mê¿czyzna, który zaatakowa³ ambasadora RP w Izraelu, przes³uchany przez policjê","{'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

kukiz15,Newsweek,Pawe³ Kukiz: Zjawisko pedofilii istnieje i ma siê dobrze. Nie tylko wœród ksiê¿y,"{'smutek': 1, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

kukiz15,Newsweek,"Kukiz ironicznie o ataku na Magierowskiego: powinniœmy przeprosiæ za to, ¿e sprowokowaliœmy sprawcê",{'z³oœæ': 2}

wielka Brytania,Newsweek,"Brexit brexitem, ale w Polsce dalej szkol¹ siê lekarze na wyjazd do Wielkiej Brytanii","{'radoœæ': 1, 'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

wielka Brytania,Newsweek,Wielka Brytania cierpi na brak lekarzy. Rekrutacj¹ medyków zajmuje siê firma z Polski,"{'radoœæ': 2, 'smutek': 6, 'wstrêt': 4, 'z³oœæ': 6}"

kukiz15,Newsweek,"Kukiz: dziœ zosta³ zaatakowany Magierowski, jutro mo¿e to byæ inny Polak ","{'smutek': 3, 'wstrêt': 3, 'z³oœæ': 3}"

pis,Newsweek,Wassermann: skrajnie Ÿle oceniam prace s³u¿b,{'zaufanie': 1}

koalicja obywatelska,Newsweek,Spór w Sejmie o Stanis³awa Piotrowicza. PO-KO chce go odwo³aæ z funkcji szefa komisji sprawiedliwoœci,{'z³oœæ': 1}

polska,Newsweek,"Mê¿czyzna, który zaatakowa³ ambasadora RP w Izraelu, przes³uchany przez policjê","{'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

kukiz15,Newsweek,Pawe³ Kukiz: Zjawisko pedofilii istnieje i ma siê dobrze. Nie tylko wœród ksiê¿y,"{'smutek': 1, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

kukiz15,Newsweek,"Kukiz ironicznie o ataku na Magierowskiego: powinniœmy przeprosiæ za to, ¿e sprowokowaliœmy sprawcê",{'z³oœæ': 2}

wielka Brytania,Newsweek,"Brexit brexitem, ale w Polsce dalej szkol¹ siê lekarze na wyjazd do Wielkiej Brytanii","{'radoœæ': 1, 'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

koalicja obywatelska,Newsweek,Jak wygl¹da wnêtrze katedry Notre Dame po po¿arze? Pierwszy film,"{'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 1, 'smutek': 1, 'strach': 1, 'z³oœæ': 1}"

ue,Newsweek,Europose³ PO wygra³ proces z kandydatk¹ PiS,"{'cieszenie siê na coœ oczekiwanego': 3, 'radoœæ': 3}"

kukiz15,Newsweek,"Kukiz: nie godzê siê na to, ¿eby Koœció³ ukrywa³ bandytów","{'strach': 2, 'wstrêt': 2}"

media,Newsweek,"Uwaga! TVN: Setki ton niebezpiecznych odpadów w Polsce. ""¯yjemy na tykaj¹cej bombie""","{'smutek': 2, 'strach': 1, 'wstrêt': 2, 'z³oœæ': 2}"

kukiz15,Newsweek,Kukiz o Januszu Korwin-Mikkem wolê nie przekroczyæ progu i nie wspó³pracowaæ z takimi ludŸmi,"{'smutek': 2, 'strach': 2}"

rz¹d,Newsweek,Sejm zajmuje siê projektem kar za pedofiliê,"{'smutek': 1, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

koalicja obywatelska,Newsweek,Ewakuacje w ZUS i NFZ po alarmach bombowych,{'radoœæ': 1}

rz¹d,Newsweek,Sejm zajmuje siê projektem zaostrzaj¹cym kary za pedofiliê,"{'smutek': 1, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

polska,Newsweek,Olsztyn: 15-latek kupowa³ gry kradzionymi kartami. Wyda³ kilkadziesi¹t tysiêcy z³otych,{'radoœæ': 1}

pis,Newsweek,"Beata Szyd³o wœród kilkunastu kobiet, które mog³yby obj¹æ wysokie stanowiska w Unii","{'radoœæ': 1, 'zaufanie': 1}"

koœció³,Newsweek,Abp G³ódŸ przeprasza. Ofiara ksiêdza pedofila: dlaczego to tak d³ugo trwa³o?,"{'smutek': 1, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

koœció³,Newsweek,"Kardyna³ Kazimierz Nycz: przepraszam za ból, ³zy, za cierpienie",{'smutek': 2}

rz¹d,Newsweek,Œwiatowy Kongres ¯ydów potêpi³ napaœæ na Marka Magierowskiego,{'radoœæ': 1}

koœció³,Newsweek,Onet24: kardyna³ Nycz przeprasza ofiary pedofilii w Koœciele,"{'smutek': 2, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

media,Newsweek,"Best of ""Onet Opinie"". Pawe³ Kukiz goœciem Andrzeja Stankiewicza","{'radoœæ': 2, 'wstrêt': 2, 'z³oœæ': 2}"

polska,Newsweek,Polski ambasador zniewa¿ony w Izraelu. Œwiatowy Kongres ¯ydów reaguje: to przera¿aj¹ce,"{'wstrêt': 4, 'z³oœæ': 4, 'radoœæ': 2, 'smutek': 2, 'strach': 2}"

ue,Newsweek,Martin Callanan: UE zmierza w z³¹ stronê,"{'smutek': 1, 'z³oœæ': 1}"

koœció³,Newsweek,"O. Rydzyk o filmie ""Tylko nie mów nikomu"": to walka z Koœcio³em obliczona na jego zniszczenie","{'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

media,Newsweek,"""DGP"": twardy reset w s³u¿bach i biznesie",{'zaufanie': 1}

koœció³,Newsweek,"O. Rydzyk o filmie ""Tylko nie mów nikomu"": to walka z Koœcio³em obliczona na jego zniszczenie","{'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

rosja,Newsweek,Pierwszy moskiewski taniec premiera. Jak wygl¹da³a wizyta Tadeusza Mazowieckiego w ZSRR?,"{'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 1, 'smutek': 1, 'strach': 1, 'z³oœæ': 1}"

usa,Newsweek,Fort Trump zale¿ny od kwestii roszczeñ?,"{'smutek': 1, 'wstrêt': 1, 'zaufanie': 1, 'z³oœæ': 1}"

koœció³,Newsweek,"KEP: Abp Scicluna nie przyje¿d¿a po to, aby rozliczyæ polskich duchownych ws. pedofilii","{'smutek': 4, 'strach': 4, 'wstrêt': 4, 'z³oœæ': 4}"

pis,Newsweek,"Ryszard Legutko o sprawie molestowania w Koœciele: problemem jest ""lawendowa mafia""","{'strach': 1, 'z³oœæ': 1}"

pis,Newsweek,Rozpoczyna siê proces ws. niesp³aconego d³ugu Kornela Morawieckiego,"{'radoœæ': 1, 'zaufanie': 1, 'smutek': 1, 'z³oœæ': 1}"

polska,Newsweek,"""Polski syndrom"" czyli jak populiœci szastaj¹ pieniêdzmi, które zaoszczêdzili libera³owie [OPINIA]","{'wstrêt': 1, 'z³oœæ': 1}"

koœció³,Newsweek,"Czy takie oœwiadczenie mo¿e napisaæ Episkopat? Pastor podpowiada, jak to zrobiæ","{'smutek': 1, 'z³oœæ': 1}"

pis,Newsweek,Nowe fakty ws. niesp³aconego d³ugu Kornela Morawieckiego. Rozpoczyna siê proces,"{'radoœæ': 1, 'zaufanie': 1, 'smutek': 1, 'z³oœæ': 1}"

polska,Newsweek,"""Polski los"" libera³a czyli jak populiœci szastaj¹ pieniêdzmi, które zaoszczêdzi³ [OPINIA]","{'wstrêt': 1, 'z³oœæ': 1}"

rz¹d,Newsweek,Wiceszef MSZ: nie ma ¿adnych tajnych negocjacji w sprawie roszczeñ ¿ydowskich,"{'radoœæ': 1, 'wstrêt': 1, 'z³oœæ': 1}"

pis,Newsweek,Nowe fakty ws. d³ugu Kornela Morawieckiego. Rozpoczyna siê proces,"{'smutek': 1, 'z³oœæ': 1}"

koœció³,Newsweek,"KEP: papieski wys³annik nie ma ""tajnej misji""","{'radoœæ': 1, 'wstrêt': 1, 'z³oœæ': 1}"

rz¹d,Newsweek,MSZ: nie ma tajnych negocjacji ws. roszczeñ,"{'radoœæ': 1, 'wstrêt': 1, 'z³oœæ': 1}"

pis,Newsweek,"Ryszard Legutko o sprawie molestowania w Koœciele: problemem jest ""lawendowa mafia""","{'strach': 1, 'z³oœæ': 1}"

rz¹d,Newsweek,Œwiatowy Kongres ¯ydów potêpi³ napaœæ na Marka Magierowskiego,{'radoœæ': 1}

ue,Newsweek,Rozstanie z PE. Ci politycy wracaj¹ do Polski,"{'radoœæ': 2, 'smutek': 2, 'z³oœæ': 2}"

ue,Newsweek,Wybory do Parlamentu Europejskiego 2019. Jakie obowi¹zki ma europose³?,"{'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 1, 'smutek': 1, 'strach': 1, 'zaufanie': 1, 'z³oœæ': 1}"

koalicja obywatelska,Newsweek,Pose³ PO pyta biskupa o tuszowanie pedofilii,"{'smutek': 1, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

koalicja obywatelska,Newsweek,"Przyj¹³ na cia³o 6 kul w starciu z zabójc¹, a po latach PiS objê³o go ustaw¹ dezubekizacyjn¹. W³aœnie wygra³ w s¹dzie. „Rano obudzi³em siê w innym œwiecie”","{'smutek': 2, 'strach': 2, 'wstrêt': 2, 'z³oœæ': 2, 'cieszenie siê na coœ oczekiwanego': 4, 'radoœæ': 4}"

pis,Newsweek,Onet24: Ryszard Legutko kontrowersyjnie o pedofilii w Koœciele,"{'smutek': 1, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

koalicja obywatelska,Newsweek,"Budka: Tusk wie, ¿e warto byæ po jasnej strony mocy","{'radoœæ': 3, 'zaufanie': 3}"

koœció³,Newsweek,Bp Andrzej Suski: odrzucam zarzuty dotycz¹ce ukrywania czynów pedofilskich ksiê¿y,"{'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

¿ydzi,Newsweek,"Izrael: zarzuty dla mê¿czyzny, który zaatakowa³ Marka Magierowskiego","{'smutek': 4, 'wstrêt': 4, 'z³oœæ': 4}"

usa,Newsweek,Mosbacher o Konfederacji: to mowa nienawiœci,"{'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

polska,Newsweek,"""Polski los"" libera³a. Jak populiœci szastaj¹ kas¹","{'wstrêt': 1, 'z³oœæ': 1}"

koœció³,Newsweek,"Prymas Wojciech Polak: powstanie fundusz solidarnoœci, który bêdzie przeznaczony na pomoc ofiarom ksiê¿y","{'radoœæ': 2, 'zaufanie': 2, 'smutek': 2}"

koalicja obywatelska,Newsweek,"Best of ""Fakt Opinie"". Borys Budka goœciem Agnieszki Burzyñskiej","{'radoœæ': 2, 'wstrêt': 2, 'z³oœæ': 2}"

rz¹d,Newsweek,Onet24: zarzuty dla sprawcy ataku na Marka Magierowskiego,"{'smutek': 1, 'wstrêt': 1, 'z³oœæ': 2}"

koalicja obywatelska,Newsweek,"Przyj¹³ na cia³o 6 kul w starciu z zabójc¹, a po latach PiS objê³o go ustaw¹ dezubekizacyjn¹. Wygra³","{'smutek': 2, 'strach': 2, 'wstrêt': 2, 'z³oœæ': 2, 'cieszenie siê na coœ oczekiwanego': 2, 'radoœæ': 2}"

rz¹d,Newsweek,Sejm zaostrzy³ kary za pedofiliê,"{'smutek': 1, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

rz¹d,Newsweek,"Sejm uchwali³ nowelizacjê Kodeksu karnego, która zaostrza kary m.in. za pedofiliê","{'smutek': 1, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

media,Newsweek,Newsletter Onetu. Piotr Kozanecki: Niemiec dostrzeg³ kluczowy b³¹d PO,"{'radoœæ': 3, 'zaufanie': 3}"

meksyk,Newsweek,Meksyk: zamordowano kolejnego dziennikarza,"{'smutek': 1, 'zaskoczenie czymœ nieprzewidywanym': 1, 'z³oœæ': 1}"

pis,Newsweek,Nawet najbardziej ¿elazny elektorat PiS móg³ od tego zg³upieæ,"{'smutek': 1, 'zaufanie': 1, 'z³oœæ': 1}"

koœció³,Newsweek,Terlikowski: to jest kryzys wiarygodnoœci Koœcio³a,"{'smutek': 1, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 1, 'zaufanie': 1}"

media,Newsweek,Sierakowski: nawet najbardziej ¿elazny elektorat PiS móg³ od tego zg³upieæ [OPINIA],"{'smutek': 2, 'zaufanie': 2, 'z³oœæ': 2}"

ue,Newsweek,"Parlament Europejski po wyborach: wiêcej eurosceptyków, mniej korzystnych decyzji?",{'radoœæ': 2}

usa,Newsweek,Odizolowana wyspa w okolicach Nowego Jorku. S³u¿by USA æwicz¹ tam na wypadek cyberataków,"{'strach': 1, 'z³oœæ': 1}"

rosja,Newsweek,Wo³odymyr Ze³enski: Rosja ma szansê wykazaæ siê chêci¹ zakoñczenia konfliktu,"{'radoœæ': 1, 'zaufanie': 1, 'z³oœæ': 2, 'smutek': 1, 'strach': 1}"

koœció³,Newsweek,"O. Rydzyk: Zalewa nas potop. Chc¹ zatopiæ nasz¹ wiarê, zaufanie do Koœcio³a","{'radoœæ': 1, 'smutek': 1}"

koalicja obywatelska,Newsweek,Donald Tusk: frekwencja w wyborach do PE bêdzie wyraŸnie wy¿sza,"{'radoœæ': 3, 'zaufanie': 3}"

media,Newsweek,"""Uwaga! TVN"": uwiêziona i poni¿ana przez najbli¿sz¹ rodzinê","{'radoœæ': 1, 'zaufanie': 1}"

ue,Newsweek,Wybieramy Parlament Europejski. PKW o incydentach wyborczych,{'smutek': 1}

ue,Newsweek,Wybory do PE. Podano frekwencjê w ca³ej UE,"{'radoœæ': 2, 'smutek': 2, 'strach': 2, 'z³oœæ': 2}"

polska,Newsweek,Kraków: Odnalaz³ siê 10-latek z autyzmem. Wsiad³ do poci¹gu,{'radoœæ': 1}

koalicja obywatelska,Newsweek,Grzegorz Schetyna: blisko 7 mln g³osów oddanych na Koalicjê Europejsk¹ to wielki sukces,"{'radoœæ': 1, 'zaufanie': 2}"

pis,Newsweek,"Kaczyñski: to ogromne wyzwanie, któremu musimy podo³aæ","{'radoœæ': 1, 'smutek': 1}"

,Newsweek,Dobry wynik Konfederacji. Marek Belka: przera¿aj¹ce,"{'smutek': 1, 'strach': 1, 'wstrêt': 1, 'z³oœæ': 1}"

wiosna,Newsweek,Robert Biedroñ: My ju¿ zwyciê¿yliœmy. Mówi o nas ca³y œwiat,"{'radoœæ': 1, 'smutek': 1, 'strach': 1, 'z³oœæ': 1}"

koalicja obywatelska,Newsweek,Rados³aw Sikorski wygrywa w wyborach po agresywnej kampanii w mediach spo³ecznoœciowych,"{'smutek': 2, 'strach': 2}"

ue,Newsweek,Oficjalne wyniki wyborów do PE. PiS pobi³o rekord,"{'smutek': 2, 'strach': 2, 'z³oœæ': 2}"

koalicja obywatelska,Newsweek,Grzegorz Schetyna: dziœ wewnêtrzne wybory w PO to absurdalna sytuacja,{'z³oœæ': 2}

ue,Newsweek,Wybory do PE. Wstêpne wyniki w Wielkiej Brytanii: zwyciêstwo Partii Brexitu,"{'radoœæ': 1, 'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

ue,Newsweek,Bohater austriackiej afery taœmowej idzie do PE,"{'wstrêt': 2, 'z³oœæ': 2}"

w³ochy,Newsweek,Zwyciêstwo populistów. W³ochy na marginesie UE?,"{'wstrêt': 4, 'z³oœæ': 4, 'smutek': 2, 'strach': 2}"

rz¹d,Newsweek,Awantura o weteranów na linii MON - Prokuratoria,"{'strach': 1, 'z³oœæ': 1}"

pis,Newsweek,Liderka KOD apeluje: skoñczcie z pogard¹ dla wyborców PiS,{'z³oœæ': 1}

koœció³,Newsweek,Biskup uda siê do klasztoru. Jest zgoda papie¿a,"{'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 1, 'zaufanie': 1}"

rosja,Newsweek,"Rosyjski polityk powali³ na ziemiê dziennikarza, bo zadawa³ niewygodne pytania","{'smutek': 1, 'wstrêt': 1, 'z³oœæ': 1}"

koœció³,Onet,Dokumentu „Tylko nie mów nikomu” nie da siê zagadaæ opowieœciami o rzekomym „ataku na Koœció³”,"{'smutek': 2, 'wstrêt': 1, 'z³oœæ': 2}"

pis,Onet,Greenpeace protestowa³ pod siedzibami PiS i PO przeciw ignorowaniu kryzysu klimatycznego,"{'smutek': 2, 'strach': 2, 'wstrêt': 2, 'z³oœæ': 2}"

koalicja obywatelska,Onet,"„Myœla³em, ¿e jestem po prostu pier...”. Przekleñstwo i dar osobowoœci borderline","{'smutek': 2, 'wstrêt': 1, 'z³oœæ': 2, 'radoœæ': 1, 'strach': 1}"

koœció³,Onet,Zbudowa³ Licheñ i molestowa³ dzieci. Ksiê¿a marianie zas³onili pomnik ks. Makulskiego z papie¿em,"{'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 1}"

koœció³,Onet,"Abp. G³ódŸ odpowie za krycie pedofilii? „Jest skoñczony, profanuje polski Koœció³”","{'smutek': 3, 'strach': 3, 'wstrêt': 3, 'z³oœæ': 3}"

polska,Onet,"Polska wœród homofobicznych liderów UE. „PiS rz¹dzi tak, by osoby LGBT nie mia³y w Polsce ¿adnych praw”","{'smutek': 6, 'wstrêt': 6, 'z³oœæ': 6, 'cieszenie siê na coœ oczekiwanego': 3, 'radoœæ': 6, 'zaufanie': 3}"

koœció³,Onet,Abp Ryœ wyda³ kodeks postêpowania z nieletnimi. „Dotyk niesie ze sob¹ pewne niebezpieczeñstwa”,"{'smutek': 1, 'strach': 1, 'z³oœæ': 1}"

polska,Onet,"Polska wœród homofobicznych liderów UE. „PiS rz¹dzi tak, by osoby LGBT nie mia³y w Polsce ¿adnych praw”","{'smutek': 6, 'wstrêt': 6, 'z³oœæ': 6, 'cieszenie siê na coœ oczekiwanego': 3, 'radoœæ': 6, 'zaufanie': 3}"

koœció³,Onet,Abp Ryœ wyda³ kodeks postêpowania z nieletnimi. „Dotyk niesie ze sob¹ pewne niebezpieczeñstwa”,"{'smutek': 1, 'strach': 1, 'z³oœæ': 1}"

pis,Onet,Greenpeace protestowa³ pod siedzibami PiS i PO przeciw ignorowaniu kryzysu klimatycznego,"{'smutek': 2, 'strach': 2, 'wstrêt': 2, 'z³oœæ': 2}"

koœció³,Onet,Zbudowa³ Licheñ i molestowa³ dzieci. Ksiê¿a marianie zas³onili pomnik ks. Makulskiego z papie¿em,"{'cieszenie siê na coœ oczekiwanego': 1, 'radoœæ': 1}"

pis,Onet,Brudziñski jest „wœciek³y”. Po jego l¹dowaniu na boisku w Choszcznie w policji polec¹ g³owy?,"{'cieszenie siê na coœ oczekiwanego': 2, 'radoœæ': 2, 'strach': 2, 'wstrêt': 2, 'z³oœæ': 2}"

rosja,Onet,"Ostatni wiêzieñ z Rakowieckiej Rosyjski szpieg, czy ofiara niepopularnych pogl¹dów?","{'smutek': 2, 'z³oœæ': 1}"

polska,Onet,Polski ambasador zaatakowany w Tel Awiwie,"{'smutek': 2, 'wstrêt': 2, 'z³oœæ': 2}"

polska,Onet,Polski ambasador Marek Magierowski zaatakowany w Tel Awiwie,"{'smutek': 3, 'wstrêt': 3, 'z³oœæ': 3}"

usa,Onet,Ogieñ i furia 2. Trump pod ostrza³em,{'z³oœæ': 1}

